Unnamed: 0;hierarchy;code_full;code;label;description;point;Niveau 1;Niveau 2;Niveau 3;Niveau 4;Niveau 5;Niveau 6;Niveau 7;Tags;x;y
0;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 01;PRZ-E 01;Hygiène de travail du personnel, Utilisation des douchettes;"
Exigences
- Pas de contamination lors du dépouillement ;
- Pas de contamination des carcasses par des excréments ;
- Élimination des contaminations visibles des carcasses par parage (pas par rinçage) ;
- Pas d'incision des mamelles pleines de lait ;
- Les outils, notamment les couteaux, sont conservés dans un endroit propre et approprié ;
- Les couteaux sont aiguisés dans un secteur séparé ;
- Les installations et les outils sont utilisés uniquement pour les activités afférentes à l'abattage ;
- Si un poste de travail est fortement souillé lors de l'abattage d'un animal ou par des matières susceptibles de contenir des agents pathogènes, il doit être soigneusement nettoyé et si nécessaire désinfecté avant que le travail ne reprenne ;
- Les carcasses, les abats ou autres DAl ne doivent pas être contaminés lors du nettoyage des installations, des outils et des tabliers.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB4EC1D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, Hygiène, Personnel, Douchettes, Contamination, Carcasses;-9.234327;0.13797542
1;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 03;PRZ-E 03;Prévention du déversement du contenu du tractus gastro-intestinal, de lait et de bile Pas de retard lors de l'éviscération;"
Exigences
- Des mesures doivent être prises pour éviter le déversement du tractus gastro-intestinal pendant l'éviscération ;
- L'éviscération est effectuée le plus rapidement possible après l'étourdissement et la saignée ;
- Les viscères de la cavité abdominale sont retirés dès que possible de la zone propre de l'établissement.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB4ED1D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, Hygiène, Prévention, Éviscération, Abattoir;-9.875516;0.7288979
2;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 04;PRZ-E 04;Installations de stérilisation en fonction;"
Exigences
- L'eau est chauffée et maintenue à une température de 82°C ;
- Le stérilisateur est en fonction et l'eau atteint la température minimale prescrite ;
- L'eau circule, la graisse est constamment rincée et éliminée par un écoulement.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB4EE1D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattoir, Stérilisation, Hygiène;-8.419817;1.970008
3;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 05;PRZ-E 05;Carcasse et organes  présentés au CV  et traçabilité;"
Exigences
- Les carcasses doivent être marquées de façon telle qu'elles puissent être attribuées sans équivoque aux animaux correspondants ;
- Quiconque pratique l'abattage d'animaux doit présenter au CV les carcasses et les parties de la carcasse à contrôler. Les organes doivent être présentés avec les ganglions lymphatiques correspondants lorsque ceux-ci sont soumis au contrôle ;
- Pour des spécialités gastronomiques, le VO peut autoriser de cas en cas des dérogations au mode de présentation ;
- L'abattoir doit disposer ou marquer jusqu'à la fin du CV les parties à contrôler de sorte que leur attribution aux carcasses soit garantie.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB4EF1D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, Hygiène, Traçabilité, Carcasse, Organes, Abattoir;-10.45715;-0.08094072
4;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 06;PRZ-E 06;Hygiénisation des estomacs, des intestins, des têtes et des pieds avant l'utilisation comme DAl;"
Exigences
- S'ils sont destinés à une transformation ultérieure en tant que DAl :
 - les estomacs doivent être nettoyés et blanchis ;
 - les intestins doivent être vidés et nettoyés ;
 - les têtes et les pieds doivent être dépouillés ou blanchis et épilés.
- L'hygiénisation a lieu avant la remise aux établissements du secteur alimentaire.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB4F01D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, Hygiène, Abattoir, Hygiénisation, Estomacs, Intestins, Têtes, Pieds, DAl;-8.921123;-0.49489844
5;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 07;PRZ-E 07;Abats recueillis de manière hygiénique Traçabilité garantie;"
Exigences
- Les abats (sous-produits de l'abattage propres à la consommation) sont soumis aux mêmes exigences en termes d'hygiène que les carcasses ;
- Les conditions de production des DAl sont respectées (conteneurs, réfrigération, hygiène personnelle, etc.).
";https://agriculture.ld.admin.ch/inspection/57A74BCEB4F11D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, Hygiène, Abattoir, Traçabilité, Hygiène personnelle;-9.080031;-0.48620602
6;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 09;PRZ-E 09;Pratiques interdites;"
Exigences
- Les carcasses et les abats ne doivent pas être :
 - nettoyés à l'aide de linges ou d'autres matériaux, mis à part les serviettes jetables en papier ;
 - soufflés avant le CV ;
 - immergés dans de l'eau stagnante avant le CV ;
- Les carcasses, à l'exception des carcasses de porcs, ne doivent pas être douchées avant le CV.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB4F21D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, Hygiène, Abattoir, Carcasses, Abats, Processus interdits;-9.828965;0.119126864
7;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 10;PRZ-E 10;MRS entièrement retiré (bovins);"
Exigences
- MRS : le crâne sans la mâchoire inférieure, le cerveau, les yeux ainsi que la moelle épinière des bovins âgés de plus de 12 mois ;
- Lorsque les bovins proviennent d'États présentant un risque d'ESB contrôlé ou indéterminé au sens de la décision 2007/453/CE (par ex. la France), on considère en outre comme MRS :
a. Pour les bovins de toutes catégories d'âge : les amygdales, les derniers quatre mètres de l'intestin grêle, le cæcum et le mésentère ;
b. Pour les bovins âgés de plus de 30 mois : la colonne vertébrale, y compris les ganglions rachidiens, à l'exclusion des vertèbres caudales, des apophyses épineuses et transverses des vertèbres cervicales, thoraciques et lombaires, de la crête sacrale médiane et des ailes du sacrum.
- La base du cerveau ne doit pas être détruite après l'étourdissement (« tringlage ») ;
- Le MRS doit être éliminé directement après l'abattage comme SPA de catégorie 1 conformément à l'art. 22 OSPA. La moelle épinière peut également être éliminée comme SPA de catégorie 1 seulement après la découpe dans l'atelier de découpe, si elle provient de carcasses non fendues.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB4F31D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, Hygiène, Abattoir, MRS, Bovins, ESB;-15.586496;10.339846
8;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 12;PRZ-E 12;Aération suffisante;"
Exigences
- Les locaux doivent être aérés et ventilés ; si nécessaire, ils doivent être équipés d'un système d'évacuation de l'air ;
- La formation de quantités importantes de vapeur d'eau et de condensation est évitée ;
- Le séchage après nettoyage et désinfection est garanti.
";https://agriculture.ld.admin.ch/inspection/57A74BCEB4F41D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, Hygiène, Aération, Ventilation, Condensation, Nettoyage;-8.87029;0.80498576
9;Abattage / hygiène de l'abattage / Abattoir - Processus;01.52_v2, E, PRZ-E 13;PRZ-E 13;Intensité de l'éclairage dans les locaux de travail;"
Exigences
- L'intensité de l'éclairage est de 220 lux au moins
";https://agriculture.ld.admin.ch/inspection/57A74BCEB4F51D05E0532D0E870A0EAF;Abattoir - Processus;hygiène de l'abattage;Abattage;;;;;Abattage, hygiène, abattoir, intensité de l'éclairage;-1.2349256;5.8172107
